,Gene,AF16_Control,AF16_Treatment,HK104_Control,HK104_Treatment,log2foldchange_control,log2foldchange_treatment
5137,WBGene00029031,321,201,267,217,0.26573355543474925,-0.11049954126555073
5138,WBGene00029032,909,1068,790,931,0.20242764112964173,0.19805857412876024
5139,WBGene00029033,1145,1235,1190,1360,-0.05561397521099954,-0.13909560966566176
5140,WBGene00029034,2536,2602,1427,1619,0.8295694106636439,0.6845179764152296
5141,WBGene00029035,5,9,2,3,1.3219280948873624,1.584962500721156
5142,WBGene00029036,5,1,1,1,2.321928094887362,0.0
5143,WBGene00029037,10,14,5,2,1.0,2.807354922057604
5148,WBGene00029043,6,1,2,2,1.584962500721156,-1.0
5151,WBGene00029046,1088,1147,856,1118,0.3459958548491924,0.03694520317263474
5152,WBGene00029047,782,760,749,759,0.06220288884860134,0.0018995329154816274
5153,WBGene00029048,1130,1245,1057,1071,0.09634739591986709,0.21718726220518753
5154,WBGene00029049,353,287,325,214,0.11922846535536356,0.42343994027454096
5155,WBGene00029050,578,558,533,508,0.11693395974150288,0.13543662505702178
5156,WBGene00029051,44,32,37,38,0.24997825300834756,-0.24792751344358557
5157,WBGene00029052,1639,1507,1644,1508,-0.004394444582224104,-0.0009570116708403666
5158,WBGene00029053,63,32,45,26,0.48542682717024166,0.29956028185890793
5159,WBGene00029054,1051,1595,1165,1406,-0.14856728557946425,0.18195982957969656
5160,WBGene00029055,551,607,636,587,-0.20697444671319778,0.04833601314562993
5161,WBGene00029056,45,34,78,119,-0.7935491225325738,-1.8073549220576042
5163,WBGene00029058,2576,2952,2857,3028,-0.14936844282175502,-0.03667248392533558
5164,WBGene00029059,817,894,800,845,0.030336078370958725,0.08132349001377094
5165,WBGene00029060,23,12,21,10,0.13124453327825272,0.2630344058337938
5166,WBGene00029061,61,53,80,40,-0.39119075732447617,0.4059923596758368
5167,WBGene00029062,672,540,976,632,-0.538419914784126,-0.22696515112627202
5168,WBGene00029063,528,468,494,414,0.09602688777377591,0.17687776208407918
5170,WBGene00029065,2,1,2,1,0.0,0.0
5172,WBGene00029068,1,1,3,6,-1.5849625007211563,-2.584962500721156
5173,WBGene00029069,24,8,26,2,-0.1154772174199359,2.0
5174,WBGene00029070,2090,858,1336,570,0.6455829344941929,0.5900157284474415
5175,WBGene00029071,2,1,15,3,-2.9068905956085187,-1.5849625007211563
5176,WBGene00029072,1,1,1,1,0.0,0.0
5177,WBGene00029074,265,210,89,113,1.5741151184841637,0.8940665552509349
5178,WBGene00029075,1204,1122,1180,1134,0.029048532510498302,-0.015347964333435986
5179,WBGene00029076,2573,2486,1763,1789,0.5454189824136184,0.47467290900057674
5180,WBGene00029077,202,158,284,159,-0.4915356367528872,-0.009102207107252434
5181,WBGene00029078,399,271,548,305,-0.4577871467381809,-0.17051639109637698
5182,WBGene00029079,2302,2006,2321,1940,-0.011858689212251968,0.04826495353769078
5183,WBGene00029080,446,406,407,341,0.1320149156540578,0.2517079881610038
5184,WBGene00029081,162,190,169,174,-0.061029433397559577,0.12691211248221967
5187,WBGene00029084,369,323,318,340,0.2145940507760408,-0.07400058144377693
5188,WBGene00029085,1012,917,880,915,0.2016338611696504,0.003149990423649648
5189,WBGene00029086,615,412,506,346,0.2814490255322922,0.2518722995464937
5190,WBGene00029087,1976,2096,1958,1945,0.013202181980982589,0.10786856166389587
5192,WBGene00029089,39,52,41,54,-0.07214978575583542,-0.05444778402237646
5196,WBGene00029093,155,128,204,126,-0.3963009366972581,0.02272007650008345
5197,WBGene00029094,1,1,13,11,-3.700439718141092,-3.4594316186372973
5198,WBGene00029095,476,426,445,404,0.09715623745418346,0.07649813747404358
5199,WBGene00029096,69,28,87,28,-0.3344190390705592,0.0
5202,WBGene00029099,2333,2151,2132,1926,0.12997886922502347,0.1593998215796017
5203,WBGene00029100,1566,1636,1417,1631,0.14424445437302208,0.004415966229864339
5204,WBGene00029101,60,38,62,28,-0.047305714778356635,0.4405725913859814
5205,WBGene00029102,656,710,722,706,-0.1383030222690873,0.008150841120864262
5206,WBGene00029103,1426,1535,1472,1353,-0.04580368961312479,0.1820768162810046
5207,WBGene00029104,1,1,393,268,-8.618385502258606,-8.066089190457772
5208,WBGene00029105,1545,1679,1429,1461,0.11260092169592048,0.2006460521335317
5209,WBGene00029106,506,480,421,459,0.2653171516279141,0.06454025219471066
5210,WBGene00029107,547,449,544,424,0.007934181542217283,0.08265118017794763
5211,WBGene00029108,415,317,318,172,0.3840845709499318,0.8820742754373093
5212,WBGene00029109,69,24,9,10,2.9385994553358565,1.2630344058337937
5213,WBGene00029110,82,20,73,17,0.16772744573806653,0.23446525363702297
5214,WBGene00029111,30,14,28,4,0.09953567355091437,1.8073549220576042
5215,WBGene00029112,59,42,205,153,-1.7968370501436048,-1.8650704199138914
5216,WBGene00029113,806,684,791,692,0.027102144055175505,-0.016775712750826767
5217,WBGene00029114,281,185,358,230,-0.34938945704333035,-0.31410859042806305
5218,WBGene00029115,16,12,28,10,-0.8073549220576042,0.2630344058337938
5219,WBGene00029116,200,150,110,118,0.8624964762500651,0.34617564113403954
5220,WBGene00029117,1049,559,487,502,1.1070210004949255,0.15516091889241798
5221,WBGene00029118,1400,1490,1316,1329,0.0892673380970873,0.1649712260733494
5223,WBGene00029120,234,79,179,86,0.38654894231914816,-0.12248400652499507
5224,WBGene00029121,855,963,905,916,-0.08199337219730746,0.07218819974651527
5225,WBGene00029122,2,1,10,1,-2.321928094887362,0.0
5227,WBGene00029124,16,16,30,9,-0.9068905956085186,0.8300749985576875
5228,WBGene00029125,759,609,709,570,0.09831425817595005,0.09548030885422837
5229,WBGene00029126,22,12,16,13,0.45943161863729726,-0.1154772174199359
5232,WBGene00029130,10,12,10,11,0.0,0.12553088208385882
5234,WBGene00029132,56,60,63,52,-0.16992500144231246,0.20645087746742624
5235,WBGene00029133,13,1,6,5,1.1154772174199359,-2.321928094887362
5236,WBGene00029134,11,3,18,12,-0.710493382805015,-2.0
5242,WBGene00029140,1475,1474,2,2,9.526499239136566,9.52552080909507
5243,WBGene00029141,305,314,313,287,-0.03735341448236971,0.12971382221593908
5244,WBGene00029142,23,12,12,5,0.9385994553358568,1.2630344058337937
5245,WBGene00029143,48,7,37,21,0.37550913509220646,-1.5849625007211563
5246,WBGene00029144,679,503,584,437,0.21744320536471462,0.20292512030492868
5247,WBGene00029145,375,231,538,312,-0.520715577173381,-0.43365317744619075
5248,WBGene00029146,9,13,40,4,-2.15200309344505,1.7004397181410922
5249,WBGene00029148,3,2,4,1,-0.4150374992788438,1.0
5251,WBGene00029150,186,74,161,62,0.20824193299341437,0.25525705524207465
5252,WBGene00029151,196,78,171,55,0.1968573292293103,0.5040425053375888
5253,WBGene00029152,939,795,939,860,0.0,-0.11338179941774261
5254,WBGene00029153,1114,821,830,619,0.42456599110574456,0.40744281256354015
5255,WBGene00029154,117,11,90,24,0.37851162325372983,-1.125530882083859
5256,WBGene00029155,180,133,243,173,-0.43295940727610627,-0.37934579213553504
5258,WBGene00029157,33,5,39,18,-0.24100809950379493,-1.84799690655495
5259,WBGene00029158,4,4,2,1,1.0,2.0
5262,WBGene00029161,17,12,20,5,-0.23446525363702297,1.2630344058337937
5263,WBGene00029162,15,3,14,2,0.09953567355091437,0.5849625007211562
5264,WBGene00029163,1,1,1,1,0.0,0.0
5267,WBGene00029166,876,798,841,836,0.058825069346029296,-0.06711419585853691
5269,WBGene00029168,4,6,9,7,-1.1699250014423124,-0.22239242133644802
5270,WBGene00029169,4,6,7,4,-0.8073549220576042,0.5849625007211562
5271,WBGene00029171,10,14,1,1,3.321928094887362,3.807354922057604
5272,WBGene00029172,390,188,490,375,-0.32930762525295987,-0.9961579337056059
5273,WBGene00029173,145,67,213,200,-0.5548005302109037,-1.577766999316952
5274,WBGene00029174,525,317,647,469,-0.3014482894390225,-0.5651050823759692
5275,WBGene00029175,84,41,59,28,0.509674373416919,0.5501970825604795
5276,WBGene00029176,524,364,466,401,0.16923685688317014,-0.13966378625622408
5277,WBGene00029177,153,123,139,125,0.1384467699691444,-0.02326977932284719
5278,WBGene00029178,109,134,150,111,-0.4606343657189545,0.2716733241076666
5279,WBGene00029179,941,1328,943,887,-0.003063047946559816,0.5822491370458609
5280,WBGene00029180,53,8,9,38,2.557995453120887,-2.2479275134435857
5282,WBGene00029182,32,17,34,7,-0.08746284125033943,1.2801079191927351
5284,WBGene00029184,94,57,136,67,-0.532873989572702,-0.23319917629303075
5285,WBGene00029185,32,74,30,65,0.09310940439148145,0.18708555260049523
5286,WBGene00029186,1088,1053,728,675,0.5796682010516432,0.6415460290875237
5287,WBGene00029187,129,59,122,67,0.08048991786036779,-0.1834461410959312
5288,WBGene00029188,1061,874,1304,1068,-0.2975192133163127,-0.28920646218695556
5289,WBGene00029189,29,1,24,1,0.27301849440641585,0.0
5290,WBGene00029190,4,1,12,4,-1.5849625007211563,-2.0
5292,WBGene00029192,677,722,744,820,-0.1361467875330347,-0.18362507261827504
5293,WBGene00029193,1416,1152,1695,1449,-0.25946400794070884,-0.33091687811461706
5294,WBGene00029194,991,777,1057,764,-0.09301841419619485,0.02434196037196123
5296,WBGene00029196,302,290,324,300,-0.10144526355954576,-0.0489096004809464
5297,WBGene00029197,112,98,156,119,-0.47804729680464425,-0.28010791919273537
5298,WBGene00029199,210,204,274,233,-0.3837865652944042,-0.1917608026827846
5299,WBGene00029200,51,13,42,20,0.2801079191927352,-0.6214883767462701
5300,WBGene00029201,1,1,14,1,-3.807354922057604,0.0
5301,WBGene00029202,1599,1631,1620,1567,-0.018823874291655024,0.0577516022393041
5302,WBGene00029203,851,705,691,679,0.3004734212977041,0.054211683041424236
5303,WBGene00029204,747,651,684,694,0.1271119179033392,-0.09227811941262537
5304,WBGene00029205,585,710,418,473,0.48493368238988416,0.5859788410526491
5305,WBGene00029206,25,17,16,8,0.6438561897747247,1.0874628412503393
5306,WBGene00029207,115,24,117,33,-0.024874668639029377,-0.4594316186372972
5307,WBGene00029208,70,30,52,21,0.4288432988038744,0.5145731728297582
5308,WBGene00029209,126,68,136,96,-0.11018291775042288,-0.4974996594708167
5309,WBGene00029210,1266,760,1464,789,-0.20963814885570112,-0.054025881682510775
5310,WBGene00029211,618,471,584,459,0.0816384690243572,0.0372329061989751
5311,WBGene00029212,48,23,35,21,0.4556794837761897,0.13124453327825272
5312,WBGene00029213,7,7,5,6,0.48542682717024166,0.22239242133644802
5313,WBGene00029214,12,12,23,2,-0.9385994553358568,2.584962500721156
5314,WBGene00029215,89,49,112,50,-0.3316214910912064,-0.029146345659516508
5315,WBGene00029216,102,136,165,148,-0.6938968722743203,-0.1219905243786103
5317,WBGene00029218,131,69,13,7,3.332983283396358,3.301169534720565
5319,WBGene00029220,5,1,1,1,2.321928094887362,0.0
5320,WBGene00029221,43,37,28,33,0.618909832644494,0.1650592462704962
5321,WBGene00029222,172,86,193,85,-0.16619228256598256,0.016873818564396122
5323,WBGene00029224,13,14,23,2,-0.8231222379159209,2.807354922057604
5324,WBGene00029225,22,14,32,14,-0.5405683813627028,0.0
5326,WBGene00029227,230,57,111,26,1.0510741845942693,1.1324502960236495
5327,WBGene00029228,6,1,8,5,-0.4150374992788438,-2.321928094887362
5328,WBGene00029229,841,490,364,392,1.2081673500564478,0.32192809488736235
5329,WBGene00029230,1336,1224,1231,1364,0.11808924598959497,-0.15624008633152073
5330,WBGene00029231,1107,1111,1099,1052,0.010463835832321213,0.07872411209678966
5331,WBGene00029232,45,49,1,1,5.491853096329675,5.614709844115208
5332,WBGene00029233,2412,2534,2195,2541,0.13600896747736416,-0.0039798509125453735
5333,WBGene00029234,2968,2156,2120,1992,0.48542682717024166,0.11413953068442442
5334,WBGene00029235,819,846,779,791,0.07224012357933941,0.09697996864715785
5335,WBGene00029236,15,1,6,5,1.3219280948873624,-2.321928094887362
5336,WBGene00029237,227,155,278,234,-0.2923925854325924,-0.594240314309167
5337,WBGene00029238,539,240,471,126,0.19455821313972224,0.9296106721086019
5338,WBGene00029239,16,20,22,9,-0.4594316186372972,1.15200309344505
5339,WBGene00029240,36,51,95,50,-1.3999306068886355,0.02856915219677092
5340,WBGene00029241,1983,1620,1747,1448,0.18280506931208845,0.1619322106887817
5341,WBGene00029242,919,598,1001,588,-0.12330520754695902,0.024329329361740506
5343,WBGene00029244,13,3,15,2,-0.20645087746742632,0.5849625007211562
5344,WBGene00029245,9,13,10,1,-0.15200309344504995,3.700439718141092
5345,WBGene00029246,6,8,10,7,-0.7369655941662062,0.19264507794239583
5347,WBGene00029248,1,3,12,1,-3.584962500721156,1.584962500721156
5348,WBGene00029249,49,43,64,31,-0.38529015588479176,0.4720684443152228
5349,WBGene00029250,99,67,205,53,-1.0501234794258365,0.3381687358945732
5350,WBGene00029251,93,45,92,63,0.015596855051018587,-0.4854268271702417
5351,WBGene00029252,84,55,104,77,-0.3081222953623318,-0.4854268271702417
5352,WBGene00029254,575,510,482,527,0.25452880960177593,-0.047305714778356635
5353,WBGene00029255,12,10,976,614,-6.34577483684173,-5.940166750482817
5356,WBGene00029260,99,123,150,89,-0.5994620704162712,0.46678107437284216
5359,WBGene00029264,3,1,13,5,-2.115477217419936,-2.321928094887362
5360,WBGene00029265,7,1,6,2,0.22239242133644802,-1.0
5361,WBGene00029267,142,185,126,129,0.1724671960047656,0.5201542050930581
5362,WBGene00029268,13307,16297,12393,15286,0.10265989312887977,0.09239547785713133
5363,WBGene00029269,1156,1228,1277,1186,-0.14361712720204495,0.0502065508241758
5364,WBGene00029270,1019,354,534,353,0.93224240447826,0.004081176811817062
5365,WBGene00029271,964,983,913,979,0.07841828624573953,0.005882556736885475
5367,WBGene00029273,75,59,58,16,0.3708376953683088,1.8826430493618413
5369,WBGene00029275,4,1,3,1,0.41503749927884376,0.0
5372,WBGene00029278,41,1,53,2,-0.3703684499451154,-1.0
5373,WBGene00029279,181,71,180,63,0.007992790753530621,0.1724671960047656
5374,WBGene00029280,1,1,1,1,0.0,0.0
5375,WBGene00029281,46,63,33,38,0.47916783669855956,0.729352410056331
5376,WBGene00029282,1,4,4,1,-2.0,2.0
5379,WBGene00029285,60,20,58,11,0.0489096004809465,0.8624964762500651
5380,WBGene00029286,17,3,20,2,-0.23446525363702297,0.5849625007211562
5381,WBGene00029287,440,505,560,502,-0.34792330342030686,0.008596023688385086
5382,WBGene00029288,15,4,11,4,0.44745897697122117,0.0
5384,WBGene00029290,293,259,244,209,0.26401951685936154,0.30944915560567104
5386,WBGene00029292,273,266,381,408,-0.4808900465734697,-0.617142906470306
5387,WBGene00029293,536,444,582,508,-0.11878615245051151,-0.1942688204220599
5388,WBGene00029294,134,83,100,59,0.4222330006830478,0.4923963819850835
5391,WBGene00029297,306,327,270,286,0.18057224564182084,0.19327548871969308
5392,WBGene00029298,41,27,26,25,0.6571122864769915,0.11103131238874395
5393,WBGene00029299,24,6,11,3,1.1255308820838588,1.0
5394,WBGene00029300,19,7,4,1,2.2479275134435857,2.807354922057604
5395,WBGene00029301,670,389,592,394,0.17856391971618504,-0.01842547447018431
5396,WBGene00029302,42,9,45,32,-0.0995356735509144,-1.8300749985576876
5397,WBGene00029303,36,8,199,52,-2.4666996191013366,-2.700439718141092
5398,WBGene00029304,5956,1658,170,74,5.130737102444399,4.485774925866801
5399,WBGene00029305,227,102,73,26,1.6367239284108976,1.9719856238304034
5400,WBGene00029306,105,73,102,54,0.0418201756946269,0.4349370567165487
5401,WBGene00029307,164,31,178,56,-0.11818142634831401,-0.8531586116707288
5402,WBGene00029308,4,1,2,1,1.0,0.0
5404,WBGene00029310,148,58,96,29,0.6244908649077937,1.0
5407,WBGene00029313,69,15,33,15,1.0641303374197155,0.0
5409,WBGene00029316,628,776,1195,957,-0.9281741539764838,-0.30246227229889777
5413,WBGene00029320,111,190,85,81,0.38502493021240425,1.2300056054463233
5414,WBGene00029321,3,3,2,3,0.5849625007211562,0.0
5415,WBGene00029322,1132,785,1284,902,-0.18177124429042082,-0.20043477947639166
5416,WBGene00029323,20,6,32,6,-0.6780719051126377,0.0
5418,WBGene00029325,2,2,1,1,1.0,1.0
5419,WBGene00029326,136,144,172,226,-0.3388019134517586,-0.6502539609728754
5420,WBGene00029327,53,36,101,51,-0.9302910281885955,-0.5025003405291831
5421,WBGene00029328,9,1,2,1,2.169925001442312,0.0
5422,WBGene00029329,1303,1628,1867,1598,-0.5188848436580674,0.026833291338270324
5424,WBGene00029331,1124,1143,973,993,0.2081303254398145,0.20295978068610443
5426,WBGene00029333,43,5,16,1,1.426264754702098,2.321928094887362
5427,WBGene00029334,5,1,6,1,-0.2630344058337938,0.0
5429,WBGene00029336,1042,724,1036,715,0.008331274591954482,0.01804645541745359
5430,WBGene00029337,113,92,123,100,-0.12233554292405216,-0.12029423371771177
5432,WBGene00029339,43,58,67,50,-0.6398244357556746,0.21412480535284734
5434,WBGene00029342,93,30,87,40,0.09621531525930298,-0.4150374992788438
5435,WBGene00029343,23,7,13,8,0.8231222379159207,-0.19264507794239588
5436,WBGene00029344,756,276,645,308,0.22908707391045624,-0.15826208391673235
5447,WBGene00029355,36,14,24,10,0.5849625007211562,0.48542682717024166
5449,WBGene00029357,23,4,12,1,0.9385994553358568,2.0
5450,WBGene00029358,9,5,72,50,-3.0,-3.321928094887362
5451,WBGene00029360,338,95,268,140,0.33479024582441186,-0.5594274086140185
5452,WBGene00029361,128,3,21,6,2.6076825772212398,-1.0
5453,WBGene00029362,101,81,124,113,-0.2959848276350804,-0.480328959530563
5454,WBGene00029363,79,32,65,34,0.2814129351486483,-0.08746284125033943
5455,WBGene00029364,5,3,4,2,0.32192809488736235,0.5849625007211562
5456,WBGene00029365,131,98,118,111,0.15077995217560894,-0.1797060222348978
5457,WBGene00029366,13,13,12,10,0.11547721741993588,0.37851162325372983
5458,WBGene00029367,9,1,32,5,-1.8300749985576876,-2.321928094887362
5459,WBGene00029368,26,25,29,19,-0.15754127698647993,0.3959286763311393
5460,WBGene00029369,64,72,76,87,-0.24792751344358557,-0.27301849440641596
5462,WBGene00029371,8,4,4,1,1.0,2.0
5465,WBGene00029374,2,1,5,1,-1.3219280948873622,0.0
5466,WBGene00029375,15,6,4,6,1.9068905956085185,0.0
5467,WBGene00029376,1,6,17,11,-4.087462841250339,-0.8744691179161412
5469,WBGene00029378,8,18,2,1,2.0,4.169925001442312
5471,WBGene00029380,4,1,7,1,-0.8073549220576042,0.0
5472,WBGene00029381,391,215,91,39,2.103230157108656,2.462790630727212
5476,WBGene00029385,22,29,45,25,-1.0324214776923775,0.21412480535284734
5478,WBGene00029387,14,10,25,21,-0.8365012677171204,-1.070389327891398
5482,WBGene00029391,6,6,5,1,0.2630344058337938,2.584962500721156
5483,WBGene00029393,58,21,47,28,0.30339214344993476,-0.4150374992788438
5484,WBGene00029396,12,2,9,3,0.41503749927884376,-0.5849625007211563
5485,WBGene00029397,3,1,5,4,-0.7369655941662062,-2.0
5486,WBGene00029398,58,56,28,23,1.0506260730699681,1.2837929660005913
5487,WBGene00029400,347,163,241,205,0.5259025163482993,-0.3307519452743684
5489,WBGene00029402,29,21,16,10,0.8579809951275721,1.070389327891398
5490,WBGene00029403,6086,2283,4982,1393,0.2887693122737594,0.7127356016234486
5491,WBGene00029404,100,49,66,44,0.5994620704162712,0.15527822547791084
5492,WBGene00029405,393,329,334,276,0.23468120978455412,0.25341931695707237
5493,WBGene00029406,89,64,89,44,0.0,0.5405683813627028
5494,WBGene00029407,1,1,1,2,0.0,-1.0
5497,WBGene00029410,1,3,2,8,-1.0,-1.415037499278844
5498,WBGene00029411,256,225,345,242,-0.43045255166553137,-0.10508204605755743
5499,WBGene00029412,66,52,69,38,-0.06413033741971558,0.4525122046975067
5500,WBGene00029413,146,79,134,90,0.12373536842224485,-0.1880723481525718
5501,WBGene00029414,2,3,1,2,1.0,0.5849625007211562
5502,WBGene00029415,50,138,48,116,0.058893689053568614,0.250543461650597
5503,WBGene00029416,187,95,183,90,0.03119462160359424,0.07800251200127316
5504,WBGene00029417,193,87,316,106,-0.7113237109090225,-0.2849769587144708
5506,WBGene00029419,37,29,21,30,0.8171359428501894,-0.0489096004809464
5507,WBGene00029420,4,2,6,3,-0.5849625007211563,-0.5849625007211563
5508,WBGene00029422,42,30,56,48,-0.4150374992788438,-0.6780719051126377
5512,WBGene00029427,102,88,84,85,0.2801079191927352,0.05004068249959563
5513,WBGene00029428,6,19,28,24,-2.222392421336448,-0.33703498727757075
5514,WBGene00029429,75,62,123,75,-0.713695814843359,-0.2746223801090057
5515,WBGene00029430,622,255,894,381,-0.5233602510527153,-0.579293750634464
5516,WBGene00029431,1,4,4,1,-2.0,2.0
5517,WBGene00029432,27,12,46,16,-0.7686744538935442,-0.4150374992788438
5518,WBGene00029433,25,21,31,14,-0.3103401206121506,0.5849625007211562
5519,WBGene00029434,5,1,2,2,1.3219280948873624,-1.0
5520,WBGene00029435,128,61,146,108,-0.1898245588800173,-0.8241501646005824
5522,WBGene00029437,2,1,1,2,1.0,-1.0
5523,WBGene00029438,11,7,20,3,-0.862496476250065,1.222392421336448
5525,WBGene00029440,509,286,420,371,0.27727632840957256,-0.3754040398424139
5526,WBGene00029441,142,60,106,65,0.4218266649414828,-0.1154772174199359
5527,WBGene00029442,216,106,282,127,-0.384663850235325,-0.2607642322089667
5528,WBGene00029443,120,62,157,53,-0.3877301532831084,0.226275855823676
5529,WBGene00029444,198,137,230,104,-0.21613343086476555,0.39759236481943455
5531,WBGene00029446,70,17,32,31,1.1292830169449664,-0.8667334691365359
5532,WBGene00029447,44,27,87,35,-0.983511877211431,-0.37439551478149785
5533,WBGene00029448,3,1,10,1,-1.7369655941662063,0.0
5534,WBGene00029449,10,11,21,1,-1.070389327891398,3.4594316186372973
5535,WBGene00029450,19,7,15,3,0.3410369178350669,1.222392421336448
5536,WBGene00029451,200,202,207,243,-0.0496307677246006,-0.2666010208539862
5537,WBGene00029452,267,278,213,166,0.3259863114617158,0.7439016413765827
5538,WBGene00029453,56,31,47,44,0.2527660703799667,-0.505235308250422
5539,WBGene00029454,62,37,62,55,0.0,-0.5719063478957098
5540,WBGene00029455,13,11,7,11,0.8930847960834881,0.0
5541,WBGene00029456,1,6,2,3,-1.0,1.0
5543,WBGene00029458,3,1,2,1,0.5849625007211562,0.0
5544,WBGene00029459,2,1,6,3,-1.5849625007211563,-1.5849625007211563
5546,WBGene00029461,51,29,39,24,0.38702312310924725,0.27301849440641585
5547,WBGene00029463,115,42,125,63,-0.12029423371771177,-0.5849625007211563
5549,WBGene00029465,6,10,8,11,-0.4150374992788438,-0.13750352374993496
5550,WBGene00029466,58,34,15,3,1.9510903995190536,3.5025003405291835
5551,WBGene00029467,63,58,1,1,5.977279923499917,5.857980995127572
5552,WBGene00029468,147,143,108,184,0.4447848426728959,-0.36369061927862345
5553,WBGene00029469,3,4,9,7,-1.5849625007211563,-0.8073549220576042
5555,WBGene00029471,6,1,7,1,-0.22239242133644802,0.0
5556,WBGene00029472,12,3,16,13,-0.4150374992788438,-2.115477217419936
5557,WBGene00029473,139,123,139,130,0.0,-0.07985330768921468
5561,WBGene00029477,2,7,2,3,0.0,1.222392421336448
5564,WBGene00029481,6,1,3,1,1.0,0.0
5565,WBGene00029482,234,99,59,174,1.9877216702215632,-0.8135868757691186
5567,WBGene00029484,11,1,7,15,0.6520766965796931,-3.9068905956085187
5568,WBGene00029485,15,46,17,32,-0.18057224564182092,0.5235619560570128
5569,WBGene00029486,552,818,570,743,-0.04629365227393495,0.13873863240315262
5570,WBGene00029487,93,44,90,36,0.04730571477835682,0.289506617194985
5571,WBGene00029488,36,43,25,25,0.5260688116675876,0.7824085649273732
5572,WBGene00029489,68,62,120,86,-0.8194277543581792,-0.4720684443152228
5573,WBGene00029490,15,3,4,5,1.9068905956085185,-0.7369655941662062
5574,WBGene00029491,56,34,68,18,-0.28010791919273537,0.9175378398080271
5575,WBGene00029492,73,82,123,79,-0.7526899464592226,0.05377125644098074
5576,WBGene00029493,1,1,1,1,0.0,0.0
5577,WBGene00029494,1,1,2,2,-1.0,-1.0
5578,WBGene00029495,50,27,19,5,1.3959286763311394,2.4329594072761065
5579,WBGene00029496,2,1,6,4,-1.5849625007211563,-2.0
5581,WBGene00029498,168,51,191,68,-0.18511140525698833,-0.4150374992788438
5582,WBGene00029499,23323,11479,23357,11763,-0.00210161268485024,-0.03525908144818736
5584,WBGene00029501,26,33,24,20,0.11547721741993588,0.722466024471091
5585,WBGene00029502,26,6,7,28,1.893084796083488,-2.222392421336448
5586,WBGene00029503,1,1,2,1,-1.0,0.0
5587,WBGene00029504,9,7,1,6,3.169925001442312,0.22239242133644802
5588,WBGene00029505,8,2,2,5,2.0,-1.3219280948873622
5590,WBGene00029507,273,134,293,106,-0.10199971350239545,0.3381687358945732
5591,WBGene00029508,135,15,82,19,0.7192635924327471,-0.34103691783506696
5592,WBGene00029509,33,5,49,8,-0.5703157247567548,-0.6780719051126377
5593,WBGene00029511,2,1,3,1,-0.5849625007211563,0.0
5594,WBGene00029512,15,9,9,4,0.7369655941662062,1.1699250014423124
5595,WBGene00029513,5,1,1,1,2.321928094887362,0.0
5596,WBGene00029514,6,1,1,1,2.584962500721156,0.0
5598,WBGene00029516,102,48,129,45,-0.3388019134517586,0.09310940439148145
5599,WBGene00029517,1585,412,2042,674,-0.36550002585103186,-0.7101042539986401
5600,WBGene00029518,192,99,113,61,0.7647835383059685,0.6986192825167233
5601,WBGene00029519,34,13,26,13,0.38702312310924725,0.0
5602,WBGene00029520,1,1,3,1,-1.5849625007211563,0.0
5605,WBGene00029523,221,308,230,265,-0.05758749155294365,0.2169379912443398
5611,WBGene00029529,18,7,13,2,0.4694852833012202,1.8073549220576042
5612,WBGene00029530,1,3,1,4,0.0,-0.4150374992788438
5616,WBGene00029534,7,1,11,1,-0.6520766965796931,0.0
5618,WBGene00029536,5,4,3,1,0.7369655941662062,2.0
5620,WBGene00029538,3,1,2,2,0.5849625007211562,-1.0
5621,WBGene00029539,36,45,28,26,0.36257007938470837,0.7914133781885826
5623,WBGene00029541,125,54,100,82,0.32192809488736235,-0.6026645024546151
5629,WBGene00029547,4,1,4,13,0.0,-3.700439718141092
5633,WBGene00029551,1,3,4,18,-2.0,-2.584962500721156
5634,WBGene00029552,110,48,117,48,-0.08900500605874494,0.0
5635,WBGene00029553,1,5,6,1,-2.584962500721156,2.321928094887362
5636,WBGene00029554,17,5,32,7,-0.9125371587496606,-0.4854268271702417
5637,WBGene00029555,77,47,107,20,-0.4746804457062456,1.232660756790275
5638,WBGene00029557,82,79,145,41,-0.8223570853968507,0.9462287435590192
5639,WBGene00029558,12,7,8,15,0.5849625007211562,-1.0995356735509143
5641,WBGene00029560,168,112,93,129,0.8531586116707288,-0.20387233336565003
5642,WBGene00029561,331,252,670,362,-1.017329878537917,-0.5225659635832889
5644,WBGene00029563,123,64,107,59,0.20104751893809295,0.11735695063815874
5645,WBGene00029564,8,1,15,1,-0.9068905956085186,0.0
5646,WBGene00029565,11,10,15,11,-0.4474589769712214,-0.13750352374993496
5647,WBGene00029566,257,32,95,27,1.4357689408629302,0.24511249783653138
5648,WBGene00029567,46,46,23,7,1.0,2.716207033999409
5649,WBGene00029568,16,10,40,27,-1.3219280948873622,-1.4329594072761063
5651,WBGene00029570,22,13,13,16,0.7589919004962051,-0.2995602818589078
5652,WBGene00029571,8,3,3,10,1.4150374992788437,-1.7369655941662063
5653,WBGene00029572,275,255,253,190,0.12029423371771175,0.42449782852791007
5654,WBGene00029573,276,141,163,99,0.7597963025470915,0.510194732319184
5655,WBGene00029574,247,132,277,214,-0.16537493446451065,-0.6970728670426936
5656,WBGene00029575,97,50,104,51,-0.10052687595396445,-0.028569152196770954
5657,WBGene00029576,19,5,62,12,-1.7062687969432897,-1.2630344058337937
